date,entry_time,side,vol,entry,sl,risk_pts,exit_time,reason,pl,pips,be,trail,early,max_locked_R,log,config
2023-01-03,16:05:59,Sell,0.68,33110.0,33256.23,146.2,20:50:00,Closed,-5.08,-5.2,0,0,0,,2023,orb15
2023-01-04,14:35:48,Buy,5.01,33291.4,33271.44,20.0,14:36:09,StopLoss,-118.55,-21.4,0,0,0,,2023,orb15
2023-01-05,14:31:34,Sell,2.34,33026.7,33069.42,42.7,14:55:09,StopLoss,196.64,86.3,1,2,0,2.0,2023,orb15
2023-01-06,14:35:52,Buy,0.96,33352.8,33248.69,104.1,14:37:26,StopLoss,-102.88,-104.9,0,0,0,,2023,orb15
2023-01-09,14:32:22,Buy,2.89,33783.7,33749.16,34.5,14:33:51,StopLoss,-107.4,-34.9,0,0,0,,2023,orb15
2023-01-10,14:47:59,Buy,2.25,33525.9,33481.58,44.3,14:52:35,StopLoss,-107.03,-45.3,0,0,0,,2023,orb15
2023-01-11,14:42:58,Buy,3.97,33846.5,33821.37,25.1,14:49:36,StopLoss,-112.6,-26.1,0,0,0,,2023,orb15
2023-01-16,15:02:44,Buy,4.97,34316.3,34296.19,20.1,15:04:30,StopLoss,-112.13,-20.3,0,0,0,,2023,orb15
2023-01-18,15:55:59,Sell,0.5,33696.6,33894.1,197.5,20:50:00,Closed,201.96,406.2,1,0,0,,2023,orb15
2023-01-23,16:04:45,Buy,0.41,33711.8,33469.79,242.0,20:50:00,Closed,-46.96,-112.3,0,0,0,,2023,orb15
2023-01-24,14:34:45,Sell,3.35,33452.8,33482.58,29.8,14:40:28,StopLoss,-0.54,2.1,1,0,0,,2023,orb15
2023-01-25,15:01:58,Sell,2.22,33419.3,33464.19,44.9,15:05:46,StopLoss,-104.7,-44.9,0,0,0,,2023,orb15
2023-01-26,14:31:26,Buy,3.4,33875.6,33846.26,29.3,14:32:23,StopLoss,-112.76,-30.9,0,0,0,,2023,orb15
2023-01-27,14:45:58,Buy,5.44,33982.7,33964.35,18.3,14:49:54,StopLoss,10.53,4.2,1,1,0,0.0,2023,orb15
2023-01-30,14:45:55,Buy,0.81,33961.6,33838.28,123.3,16:55:17,StopLoss,-103.98,-126.1,0,0,0,,2023,orb15
2023-02-01,14:31:00,Sell,3.41,33875.1,33904.35,29.2,14:39:50,StopLoss,-113.09,-30.9,0,0,0,,2023,orb15
2023-02-08,14:31:41,Sell,4.67,34014.5,34035.9,21.4,14:32:11,StopLoss,-110.5,-21.4,0,0,0,,2023,orb15
2023-02-13,15:50:54,Buy,0.41,34153.4,33911.5,241.9,20:50:00,Closed,32.5,81.5,0,0,0,,2023,orb15
2023-02-14,14:31:00,Sell,1.05,34078.6,34172.96,94.4,14:50:38,StopLoss,-102.55,-95.4,0,0,0,,2023,orb15
2023-02-16,14:37:48,Sell,1.49,33762.4,33829.18,66.8,15:20:41,StopLoss,-103.51,-67.2,0,0,0,,2023,orb15
2023-02-20,15:14:57,Sell,4.86,33722.1,33742.65,20.6,17:46:18,StopLoss,-112.57,-20.9,0,0,0,,2023,orb15
2023-02-22,15:32:59,Sell,3.02,33059.1,33092.16,33.1,15:43:03,StopLoss,-107.1,-33.2,0,0,0,,2023,orb15
2023-02-23,14:32:58,Buy,5.05,33190.6,33170.8,19.8,14:33:44,StopLoss,-111.91,-19.9,0,0,0,,2023,orb15
2023-02-24,14:31:38,Sell,1.76,32746.8,32803.51,56.7,14:34:23,StopLoss,-104.12,-56.9,0,0,0,,2023,orb15
2023-03-06,14:34:32,Buy,4.2,33468.3,33444.54,23.8,14:41:13,StopLoss,-111.98,-24.4,0,0,0,,2023,orb15
2023-03-07,14:35:37,Sell,5.99,33406.0,33422.67,16.7,14:47:27,StopLoss,-113.59,-16.7,0,0,0,,2023,orb15
2023-03-09,14:31:23,Buy,1.85,32929.3,32875.33,54.0,15:11:28,StopLoss,-106.67,-55.4,0,0,0,,2023,orb15
2023-03-23,15:30:57,Buy,0.68,32428.6,32283.2,145.4,17:09:17,StopLoss,-100.62,-145.7,0,0,0,,2023,orb15
2023-03-30,16:01:58,Sell,2.0,32734.6,32784.39,49.8,18:21:06,StopLoss,-104.72,-50.1,0,0,0,,2023,orb15
2023-03-31,16:24:58,Buy,0.69,33162.0,33018.94,143.1,20:50:00,Closed,126.3,185.3,0,0,0,,2023,orb15
2023-04-04,16:10:58,Sell,0.42,33284.9,33517.92,233.0,20:50:00,Closed,-66.94,-157.1,0,0,0,,2023,orb15
2023-04-11,15:49:55,Buy,2.13,33706.6,33659.68,46.9,19:57:17,StopLoss,-105.36,-47.2,0,0,0,,2023,orb15
2023-04-18,14:31:00,Sell,1.25,33792.3,33872.08,79.8,15:27:07,StopLoss,-103.07,-80.2,0,0,0,,2023,orb15
2023-04-20,15:40:59,Buy,3.73,33779.5,33752.72,26.8,18:06:39,StopLoss,93.02,27.2,1,1,0,1.0,2023,orb15
2023-04-24,14:31:00,Buy,2.71,33890.6,33853.69,36.9,14:36:30,StopLoss,-109.12,-38.0,0,0,0,,2023,orb15
2023-04-27,16:01:59,Buy,1.29,33615.0,33537.57,77.4,20:50:00,Closed,225.8,177.3,1,1,0,1.0,2023,orb15
2023-04-28,16:06:55,Buy,0.96,34045.5,33942.28,103.2,20:50:00,Closed,53.6,58.1,0,0,0,,2023,orb15
2023-05-01,14:46:53,Buy,2.19,34229.8,34184.25,45.6,15:13:44,StopLoss,-109.86,-47.9,0,0,0,,2023,orb15
2023-05-02,15:02:56,Sell,0.45,33459.1,33679.94,220.8,17:53:11,StopLoss,-100.47,-221.0,0,0,0,,2023,orb15
2023-05-08,15:33:58,Sell,3.02,33569.0,33602.04,33.0,15:46:36,StopLoss,-112.84,-35.1,0,0,0,,2023,orb15
2023-05-10,14:45:57,Sell,0.82,33371.8,33493.01,121.2,15:21:38,StopLoss,-103.7,-124.2,0,0,0,,2023,orb15
2023-05-12,16:03:56,Sell,1.09,33230.5,33321.69,91.2,20:50:00,Closed,-23.93,-19.7,0,0,0,,2023,orb15
2023-05-17,15:17:50,Buy,3.44,33192.5,33163.48,29.0,15:19:21,StopLoss,-113.39,-30.7,0,0,0,,2023,orb15
2023-05-19,16:30:52,Sell,0.46,33335.4,33549.44,214.0,20:50:00,Closed,-26.2,-54.7,0,0,0,,2023,orb15
2023-05-24,15:44:59,Sell,1.62,32785.6,32847.3,61.7,17:22:32,StopLoss,-104.42,-62.2,0,0,0,,2023,orb15
2023-05-25,15:54:47,Sell,1.2,32602.4,32685.48,83.1,16:12:09,StopLoss,-102.56,-83.2,0,0,0,,2023,orb15
2023-05-29,15:29:48,Buy,6.37,33204.6,33188.91,15.7,16:38:07,StopLoss,-115.7,-15.9,0,0,0,,2023,orb15
2023-05-30,15:16:53,Sell,1.96,32922.4,32973.3,50.9,15:37:00,StopLoss,-104.79,-51.2,0,0,0,,2023,orb15
2023-06-01,16:20:49,Buy,0.52,33128.7,32937.44,191.3,20:50:00,Closed,-21.04,-38.2,0,0,0,,2023,orb15
2023-06-02,15:02:57,Buy,0.74,33604.3,33469.94,134.4,20:50:00,Closed,104.07,142.9,0,0,0,,2023,orb15
2023-06-06,14:45:52,Buy,2.38,33612.4,33570.4,42.0,15:13:40,StopLoss,-105.58,-42.1,0,0,0,,2023,orb15
2023-06-08,15:30:59,Buy,3.03,33761.1,33728.17,32.9,15:47:46,StopLoss,-109.58,-33.9,0,0,0,,2023,orb15
2023-06-15,15:48:58,Buy,0.71,34315.7,34175.32,140.4,20:50:00,Closed,45.62,66.5,0,0,0,,2023,orb15
2023-06-19,14:56:32,Sell,5.14,34178.6,34198.05,19.5,15:18:01,StopLoss,-116.5,-20.4,0,0,0,,2023,orb15
2023-07-03,16:04:57,Buy,1.41,34456.9,34386.03,70.9,20:50:00,Closed,-40.28,-26.3,0,0,0,,2023,orb15
2023-07-06,15:45:57,Sell,1.39,33803.6,33875.33,71.7,16:55:27,StopLoss,-103.36,-72.1,0,0,0,,2023,orb15
2023-07-11,16:00:53,Buy,1.07,34166.2,34073.44,92.8,20:50:00,Closed,76.87,74.1,0,0,0,,2023,orb15
2023-07-13,15:31:50,Sell,5.43,34369.7,34388.08,18.4,15:47:24,StopLoss,-114.91,-18.9,0,0,0,,2023,orb15
2023-07-17,15:28:53,Buy,2.25,34586.7,34542.32,44.4,20:50:00,Closed,-39.98,-15.5,0,0,0,,2023,orb15
2023-07-18,14:45:59,Buy,1.07,34872.7,34780.1,92.6,20:50:00,Closed,78.26,75.4,0,0,0,,2023,orb15
2023-07-20,15:49:56,Buy,1.26,35332.9,35254.1,78.8,18:19:09,StopLoss,-102.4,-79.0,0,0,0,,2023,orb15
2023-07-24,15:37:48,Buy,2.89,35416.2,35381.61,34.6,20:50:00,Closed,-3.94,0.9,0,0,0,,2023,orb15
2023-07-25,15:38:54,Buy,2.58,35473.1,35434.35,38.8,19:59:50,StopLoss,-106.2,-38.9,0,0,0,,2023,orb15
2023-07-26,15:28:56,Buy,3.95,35462.3,35437.03,25.3,16:56:49,StopLoss,-111.25,-25.9,0,0,0,,2023,orb15
2023-08-04,15:43:58,Buy,1.89,35428.7,35375.87,52.8,17:58:57,StopLoss,-104.64,-53.1,0,0,0,,2023,orb15
2023-08-09,15:16:58,Sell,1.18,35198.5,35283.03,84.5,18:08:36,StopLoss,-103.33,-85.3,0,0,0,,2023,orb15
2023-08-17,16:15:59,Sell,2.32,34710.5,34753.56,43.1,16:23:48,StopLoss,-105.23,-43.1,0,0,0,,2023,orb15
2023-08-21,15:15:58,Sell,1.24,34307.4,34387.92,80.5,16:59:11,StopLoss,-105.97,-83.2,0,0,0,,2023,orb15
2023-08-22,14:34:58,Sell,1.79,34336.9,34392.46,55.6,20:50:00,Closed,83.29,48.8,0,0,0,,2023,orb15
2023-08-24,15:54:59,Sell,0.63,34280.3,34437.22,156.9,20:50:00,Closed,115.76,186.0,0,0,0,,2023,orb15
2023-08-29,15:35:50,Buy,1.8,34730.7,34675.24,55.5,20:50:00,Closed,236.94,133.9,1,1,0,0.0,2023,orb15
2023-08-31,15:34:58,Sell,1.47,34896.6,34964.37,67.8,20:50:00,Closed,201.6,139.4,1,0,0,,2023,orb15
2023-09-01,15:45:59,Sell,0.99,34737.3,34838.05,100.8,19:26:46,StopLoss,-102.33,-101.1,0,0,0,,2023,orb15
2023-09-04,14:56:45,Sell,2.56,34757.3,34796.3,39.0,15:55:02,StopLoss,-106.66,-39.4,0,0,0,,2023,orb15
2023-09-06,16:29:41,Sell,0.82,34380.4,34502.08,121.7,20:50:00,Closed,-42.04,-49.0,0,0,0,,2023,orb15
2023-09-08,16:22:59,Buy,2.92,34615.7,34581.53,34.2,16:30:02,StopLoss,-107.05,-34.4,0,0,0,,2023,orb15
2023-09-12,15:30:55,Buy,2.03,34677.7,34628.46,49.2,18:00:25,StopLoss,102.79,52.9,1,2,0,1.0,2023,orb15
2023-09-14,16:10:57,Buy,1.4,34858.9,34787.96,70.9,20:50:00,Closed,136.98,100.1,0,0,0,,2023,orb15
2023-09-15,15:30:55,Sell,2.35,34749.6,34791.98,42.4,17:43:20,StopLoss,201.48,88.0,1,2,0,2.0,2023,orb15
2023-09-18,16:00:55,Buy,1.93,34710.8,34659.08,51.7,18:27:17,StopLoss,-104.91,-52.1,0,0,0,,2023,orb15
2023-09-19,14:39:49,Sell,1.66,34396.8,34456.82,60.0,17:49:10,StopLoss,-105.68,-61.4,0,0,0,,2023,orb15
2023-09-20,16:28:54,Buy,1.49,34734.4,34667.69,66.7,18:00:01,StopLoss,-131.22,-85.8,0,0,0,,2023,orb15
2023-09-26,15:29:59,Sell,1.76,33673.7,33730.36,56.7,16:11:57,StopLoss,-104.48,-57.1,0,0,0,,2023,orb15
2023-09-27,14:51:55,Sell,1.47,33531.8,33599.42,67.6,18:30:01,StopLoss,102.37,71.9,1,1,0,1.0,2023,orb15
2023-10-09,16:07:58,Buy,1.84,33434.9,33380.65,54.2,16:44:16,StopLoss,-105.36,-55.0,0,0,0,,2023,orb15
2023-10-10,15:08:52,Buy,1.72,33820.4,33762.57,57.8,17:15:02,StopLoss,-116.39,-65.4,0,0,0,,2023,orb15
2023-10-11,15:41:59,Sell,1.65,33698.2,33758.67,60.5,19:39:00,StopLoss,-104.56,-61.1,0,0,0,,2023,orb15
2023-10-18,16:11:59,Sell,3.63,33827.3,33854.83,27.5,17:01:50,StopLoss,206.31,59.1,1,2,0,2.0,2023,orb15
2023-11-02,16:28:57,Buy,1.35,33642.2,33568.29,73.9,20:50:00,Closed,266.94,200.0,1,1,0,0.0,2023,orb15
2023-11-07,15:19:59,Buy,2.55,34101.4,34062.3,39.1,17:30:47,StopLoss,-1.95,1.5,1,0,0,,2023,orb15
2023-11-08,14:31:30,Buy,5.53,34221.4,34203.33,18.1,14:34:06,StopLoss,-114.27,-18.4,0,0,0,,2023,orb15
2023-11-10,14:31:28,Buy,3.56,34064.5,34036.48,28.0,14:32:18,StopLoss,-109.16,-28.4,0,0,0,,2023,orb15
2023-11-17,16:05:59,Sell,1.21,34889.0,34971.4,82.4,18:41:05,StopLoss,-103.65,-83.4,0,0,0,,2023,orb15
2023-11-20,15:24:50,Buy,4.31,34997.0,34973.83,23.2,20:50:00,Closed,811.3,190.5,1,7,0,7.0,2023,orb15
2023-11-22,14:31:00,Buy,2.42,35221.9,35180.6,41.3,14:56:21,StopLoss,-109.06,-42.8,0,0,0,,2023,orb15
2023-11-23,15:59:35,Buy,5.86,35330.3,35313.25,17.1,17:29:55,StopLoss,-117.57,-17.8,0,0,0,,2023,orb15
2023-11-24,15:40:56,Buy,7.46,35379.0,35365.61,13.4,16:27:11,StopLoss,-122.81,-14.2,0,0,0,,2023,orb15
2023-11-27,14:31:00,Buy,3.13,35398.0,35366.08,31.9,14:33:28,StopLoss,-110.06,-32.9,0,0,0,,2023,orb15
2023-11-28,15:45:00,Buy,0.89,35467.1,35354.75,112.3,18:02:21,StopLoss,-103.84,-114.4,0,0,0,,2023,orb15
2023-11-30,15:41:59,Buy,1.66,35711.7,35651.46,60.2,17:21:54,StopLoss,-104.36,-60.6,0,0,0,,2023,orb15
2023-12-01,16:11:58,Buy,3.27,36044.7,36014.15,30.5,16:17:31,StopLoss,-110.08,-31.4,0,0,0,,2023,orb15
2023-12-06,14:31:00,Buy,4.15,36250.9,36226.83,24.1,14:35:23,StopLoss,-114.81,-25.4,0,0,0,,2023,orb15
2023-12-07,14:31:00,Buy,2.67,36139.0,36101.67,37.3,14:33:44,StopLoss,-107.23,-37.9,0,0,0,,2023,orb15
2023-12-13,15:34:56,Sell,3.7,36563.3,36590.29,27.0,15:46:47,StopLoss,-109.76,-27.4,0,0,0,,2023,orb15
2023-12-15,14:31:47,Sell,2.9,37173.4,37207.8,34.4,14:32:17,StopLoss,-109.22,-35.4,0,0,0,,2023,orb15
2023-12-19,15:39:59,Buy,0.97,37487.0,37384.57,102.4,20:50:00,Closed,17.78,20.6,0,0,0,,2023,orb15
2023-12-20,16:30:01,Buy,3.08,37587.3,37554.9,32.4,19:32:40,StopLoss,-108.29,-32.9,0,0,0,,2023,orb15
2023-12-21,14:35:35,Buy,3.24,37387.2,37356.4,30.8,14:37:09,StopLoss,-107.46,-30.9,0,0,0,,2023,orb15
2023-12-22,14:31:25,Buy,4.45,37381.7,37359.23,22.5,15:01:00,StopLoss,509.26,116.7,1,6,0,5.0,2023,orb15
2023-12-26,15:30:56,Buy,3.06,37485.6,37452.96,32.6,20:49:51,StopLoss,201.47,68.1,1,2,0,2.0,2023,orb15
2023-12-27,14:31:00,Sell,4.61,37493.7,37515.39,21.7,14:32:11,StopLoss,-113.7,-22.4,0,0,0,,2023,orb15
2023-12-28,15:57:59,Buy,3.79,37704.4,37678.06,26.3,18:02:50,StopLoss,-1.0,2.0,1,0,0,,2023,orb15
2023-12-29,15:46:49,Sell,6.55,37696.3,37711.55,15.2,15:49:14,StopLoss,114.22,19.7,1,1,0,1.0,2023,orb15
2024-01-03,14:35:55,Sell,3.81,37553.0,37579.24,26.2,14:38:31,StopLoss,-112.23,-26.9,0,0,0,,2024,orb15
2024-01-04,16:15:58,Buy,0.59,37694.8,37527.72,167.1,17:44:31,StopLoss,-100.92,-168.5,0,0,0,,2024,orb15
2024-01-05,16:26:59,Buy,1.12,37512.1,37423.55,88.5,17:07:10,StopLoss,-102.54,-89.0,0,0,0,,2024,orb15
2024-01-08,15:56:54,Buy,2.58,37387.1,37348.42,38.7,16:02:54,StopLoss,-107.46,-39.1,0,0,0,,2024,orb15
2024-01-09,14:31:30,Sell,2.65,37428.3,37465.94,37.6,16:29:42,StopLoss,-108.25,-38.3,0,0,0,,2024,orb15
2024-01-10,14:31:00,Buy,5.27,37558.2,37539.26,18.9,14:42:05,StopLoss,309.06,61.2,1,4,0,3.0,2024,orb15
2024-01-18,14:31:00,Sell,1.63,37142.5,37203.71,61.2,14:33:03,StopLoss,-105.06,-61.9,0,0,0,,2024,orb15
2024-01-22,14:31:33,Buy,4.44,37991.9,37969.37,22.5,14:32:20,StopLoss,-117.46,-23.9,0,0,0,,2024,orb15
2024-01-23,14:33:29,Sell,4.53,37915.4,37937.44,22.0,14:33:58,StopLoss,-117.58,-23.4,0,0,0,,2024,orb15
2024-01-29,14:31:00,Buy,4.4,38123.8,38101.1,22.7,14:47:19,StopLoss,-111.12,-22.7,0,0,0,,2024,orb15
2024-02-02,14:40:54,Sell,2.34,38337.9,38380.53,42.6,14:45:39,StopLoss,-111.98,-45.3,0,0,0,,2024,orb15
2024-02-05,15:45:56,Sell,0.31,38225.1,38546.06,321.0,20:50:00,Closed,-56.2,-178.7,0,0,0,,2024,orb15
2024-02-06,14:33:35,Buy,4.69,38405.7,38384.39,21.3,14:50:30,StopLoss,406.37,89.2,1,5,0,4.0,2024,orb15
2024-02-07,14:31:00,Buy,2.78,38659.0,38623.05,35.9,14:33:16,StopLoss,-111.07,-37.4,0,0,0,,2024,orb15
2024-02-08,14:32:25,Buy,3.48,38742.3,38713.58,28.7,14:33:09,StopLoss,-112.93,-29.9,0,0,0,,2024,orb15
2024-02-09,16:26:53,Sell,0.93,38618.2,38724.83,106.6,20:50:00,Closed,-7.87,-5.9,0,0,0,,2024,orb15
2024-02-12,16:00:55,Buy,1.26,38731.5,38652.35,79.2,20:50:00,Closed,87.88,72.3,1,0,0,,2024,orb15
2024-02-13,14:39:57,Sell,1.18,38366.4,38450.69,84.3,20:50:00,Closed,204.54,175.9,1,1,0,1.0,2024,orb15
2024-02-15,16:05:52,Buy,1.46,38581.9,38513.74,68.2,20:50:00,Closed,218.2,152.0,1,0,0,,2024,orb15
2024-02-21,14:31:38,Sell,8.96,38463.7,38474.85,11.2,14:33:00,StopLoss,412.58,48.6,1,4,0,4.0,2024,orb15
2024-02-22,14:32:33,Buy,2.24,38883.7,38839.08,44.6,14:33:00,StopLoss,-113.02,-47.9,0,0,0,,2024,orb15
2024-02-23,14:31:28,Buy,3.98,39191.0,39165.92,25.1,14:33:32,StopLoss,-113.24,-25.9,0,0,0,,2024,orb15
2024-02-26,14:32:20,Buy,5.39,39168.4,39149.87,18.5,14:32:33,StopLoss,-118.33,-19.4,0,0,0,,2024,orb15
2024-02-27,14:31:00,Sell,7.63,39025.8,39038.9,13.1,14:32:32,StopLoss,-121.72,-13.4,0,0,0,,2024,orb15
2024-02-28,14:31:28,Sell,3.08,38760.2,38792.57,32.4,14:32:47,StopLoss,-107.65,-32.4,0,0,0,,2024,orb15
2024-02-29,14:32:45,Buy,2.33,39063.5,39020.66,42.8,14:39:51,StopLoss,-105.92,-42.9,0,0,0,,2024,orb15
2024-03-01,15:00:54,Sell,2.37,38859.6,38901.65,42.1,15:03:21,StopLoss,-108.92,-43.4,0,0,0,,2024,orb15
2024-03-05,14:31:45,Sell,4.95,38833.1,38853.3,20.2,14:57:58,StopLoss,209.62,44.9,1,2,0,2.0,2024,orb15
2024-03-06,14:31:22,Buy,1.46,38837.2,38769.11,68.1,14:37:01,StopLoss,-106.5,-70.4,0,0,0,,2024,orb15
2024-03-07,14:31:38,Buy,1.34,38883.1,38808.92,74.2,15:05:16,StopLoss,-102.98,-74.3,0,0,0,,2024,orb15
2024-03-12,15:42:56,Buy,1.33,38999.2,38924.24,75.0,16:28:43,StopLoss,-105.28,-76.6,0,0,0,,2024,orb15
2024-03-13,16:12:59,Buy,2.59,39174.0,39135.53,38.5,16:58:50,StopLoss,-107.89,-39.1,0,0,0,,2024,orb15
2024-03-19,15:31:53,Buy,0.71,39004.2,38864.85,139.3,20:50:00,Closed,72.8,105.1,0,0,0,,2024,orb15
2024-03-20,15:27:59,Buy,3.86,39147.7,39121.83,25.9,15:41:04,StopLoss,-109.83,-25.9,0,0,0,,2024,orb15
2024-03-21,14:31:59,Buy,2.27,39864.2,39820.18,44.0,15:03:08,StopLoss,-107.5,-44.8,0,0,0,,2024,orb15
2024-03-22,15:30:59,Sell,1.96,39620.1,39671.04,50.9,20:50:00,Closed,362.3,187.4,1,1,0,1.0,2024,orb15
2024-03-25,15:17:56,Sell,5.66,39344.9,39362.54,17.6,15:37:03,StopLoss,-115.21,-17.8,0,0,0,,2024,orb15
2024-03-26,15:54:48,Buy,4.59,39431.85,39410.08,21.8,16:04:33,StopLoss,-111.78,-21.8,0,0,0,,2024,orb15
2024-04-01,14:39:51,Sell,1.34,39546.35,39620.72,74.4,20:50:00,Closed,152.56,116.4,1,0,0,,2024,orb15
2024-04-09,14:31:00,Sell,1.32,38750.55,38825.98,75.4,16:00:20,StopLoss,2.16,4.2,1,0,0,,2024,orb15
2024-04-12,16:17:53,Sell,1.02,38087.25,38184.85,97.6,20:50:00,Closed,104.19,104.7,1,0,0,,2024,orb15
2024-04-15,16:30:57,Sell,1.31,38021.05,38097.3,76.2,20:50:00,Closed,416.38,320.4,1,2,0,2.0,2024,orb15
2024-04-30,15:42:54,Sell,0.86,38054.45,38169.9,115.5,20:50:00,Closed,228.62,268.4,1,0,0,,2024,orb15
2024-05-06,16:19:59,Sell,2.78,38694.65,38730.57,35.9,16:32:27,StopLoss,-108.29,-36.4,0,0,0,,2024,orb15
2024-05-08,15:05:57,Buy,2.14,38947.35,38900.73,46.6,20:50:00,Closed,193.35,92.9,1,1,0,1.0,2024,orb15
2024-05-09,14:38:58,Buy,1.17,39266.95,39181.69,85.3,20:50:00,Closed,197.09,171.0,1,1,0,0.0,2024,orb15
2024-05-10,15:37:47,Sell,2.14,39425.65,39472.33,46.7,16:12:24,StopLoss,-106.25,-47.1,0,0,0,,2024,orb15
2024-05-13,16:15:56,Sell,2.52,39500.45,39539.98,39.5,20:50:00,Closed,187.6,77.0,1,0,0,,2024,orb15
2024-05-15,15:08:46,Buy,1.9,39809.45,39756.92,52.5,20:50:00,Closed,138.59,75.5,1,1,0,0.0,2024,orb15
2024-05-16,14:44:58,Buy,2.55,40016.55,39977.33,39.2,15:14:11,StopLoss,-109.8,-40.5,0,0,0,,2024,orb15
2024-05-20,15:31:59,Buy,2.54,40068.85,40029.56,39.3,15:48:12,StopLoss,-107.57,-39.8,0,0,0,,2024,orb15
2024-05-21,14:36:42,Buy,4.8,39879.15,39858.33,20.8,14:40:30,StopLoss,-114.02,-21.2,0,0,0,,2024,orb15
2024-05-22,15:50:37,Sell,2.86,39762.55,39797.42,34.9,15:57:21,StopLoss,-107.97,-35.2,0,0,0,,2024,orb15
2024-05-23,14:31:00,Sell,1.41,39372.45,39443.04,70.6,14:39:53,StopLoss,-105.54,-72.3,0,0,0,,2024,orb15
2024-05-27,15:00:50,Buy,3.66,39077.15,39049.87,27.3,20:50:00,Closed,155.36,45.0,0,0,0,,2024,orb15
2024-06-03,16:13:59,Sell,0.44,38367.85,38594.8,227.0,20:50:00,Closed,-90.97,-204.2,0,0,0,,2024,orb15
2024-06-13,16:00:40,Sell,2.26,38436.11,38480.26,44.2,16:38:54,StopLoss,-106.98,-44.8,0,0,0,,2024,orb15
2024-06-17,16:07:59,Buy,2.06,38613.55,38565.21,48.3,20:50:00,Closed,365.95,180.2,1,2,0,2.0,2024,orb15
2024-06-19,14:33:44,Sell,7.55,38767.75,38780.99,13.2,14:45:08,StopLoss,-121.96,-13.6,0,0,0,,2024,orb15
